case_id,sector,lag,r,p,n,sig
F1,Finance,1,0.079,0.667,32,no
F1,Finance,2,-0.017,0.926,31,no
F1,Finance,3,-0.039,0.836,30,no
F2,Finance,1,0.192,0.292,32,no
F2,Finance,2,-0.213,0.25,31,no
F2,Finance,3,0.15,0.429,30,no
F3,Finance,1,0.627,0.0,38,YES
F3,Finance,2,0.429,0.008,37,YES
F3,Finance,3,0.242,0.155,36,no
F4,Finance,1,-0.126,0.547,25,no
F4,Finance,2,-0.118,0.584,24,no
F4,Finance,3,-0.111,0.614,23,no
F5,Finance,1,-0.114,0.536,32,no
F5,Finance,2,-0.112,0.547,31,no
F5,Finance,3,-0.111,0.559,30,no
F6,Finance,1,0.185,0.31,32,no
F6,Finance,2,-0.19,0.306,31,no
F6,Finance,3,-0.223,0.237,30,no
F7,Finance,1,-0.109,0.551,32,no
F7,Finance,2,-0.117,0.529,31,no
F7,Finance,3,-0.136,0.473,30,no
G1,Geopolitics,1,0.046,0.808,31,no
G1,Geopolitics,2,-0.071,0.71,30,no
G1,Geopolitics,3,-0.114,0.556,29,no
G3,Geopolitics,1,0.553,0.001,32,YES
G3,Geopolitics,2,-0.002,0.992,31,no
G3,Geopolitics,3,0.098,0.606,30,no
G4,Geopolitics,1,0.302,0.094,32,no
G4,Geopolitics,2,-0.115,0.536,31,no
G4,Geopolitics,3,-0.137,0.472,30,no
G5,Geopolitics,1,-0.239,0.187,32,no
G5,Geopolitics,2,0.134,0.473,31,no
G5,Geopolitics,3,0.135,0.476,30,no
G6,Geopolitics,1,-0.021,0.909,32,no
G6,Geopolitics,2,-0.047,0.801,31,no
G6,Geopolitics,3,-0.121,0.524,30,no
G7,Geopolitics,1,0.358,0.044,32,YES
G7,Geopolitics,2,-0.051,0.786,31,no
G7,Geopolitics,3,-0.064,0.735,30,no
M1,Media,1,-0.2,0.273,32,no
M1,Media,2,0.073,0.696,31,no
M1,Media,3,0.134,0.481,30,no
M2,Media,1,0.154,0.4,32,no
M2,Media,2,-0.063,0.734,31,no
M2,Media,3,-0.289,0.121,30,no
M3,Media,1,0.133,0.467,32,no
M3,Media,2,0.251,0.173,31,no
M3,Media,3,-0.057,0.766,30,no
M4,Media,1,0.376,0.034,32,YES
M4,Media,2,-0.004,0.981,31,no
M4,Media,3,0.308,0.098,30,no
M5,Media,1,0.009,0.959,32,no
M5,Media,2,-0.125,0.501,31,no
M5,Media,3,-0.17,0.37,30,no
M6,Media,1,-0.022,0.907,32,no
M6,Media,2,-0.245,0.183,31,no
M6,Media,3,-0.115,0.546,30,no
M7,Media,1,0.075,0.685,32,no
M7,Media,2,-0.064,0.734,31,no
M7,Media,3,-0.062,0.744,30,no
