case_id,sector,lag,r,p,sig
F1,Finance,1,0.137,0.456,no
F1,Finance,2,0.007,0.971,no
F1,Finance,3,-0.011,0.953,no
F2,Finance,1,0.206,0.258,no
F2,Finance,2,-0.173,0.353,no
F2,Finance,3,0.268,0.153,no
F3,Finance,1,0.038,0.822,no
F3,Finance,2,0.07,0.681,no
F3,Finance,3,-0.018,0.918,no
F4,Finance,1,0.099,0.637,no
F4,Finance,2,0.183,0.391,no
F4,Finance,3,-0.075,0.733,no
F5,Finance,1,0.092,0.618,no
F5,Finance,2,0.016,0.933,no
F5,Finance,3,-0.16,0.397,no
F6,Finance,1,-0.119,0.516,no
F6,Finance,2,-0.126,0.5,no
F6,Finance,3,-0.265,0.156,no
F7,Finance,1,0.544,0.001,YES
F7,Finance,2,0.172,0.354,no
F7,Finance,3,0.306,0.1,no
G1,Geopolitics,1,0.129,0.489,no
G1,Geopolitics,2,0.062,0.746,no
G1,Geopolitics,3,0.063,0.745,no
G3,Geopolitics,1,0.149,0.415,no
G3,Geopolitics,2,-0.019,0.921,no
G3,Geopolitics,3,0.0,0.999,no
G4,Geopolitics,1,-0.073,0.693,no
G4,Geopolitics,2,-0.147,0.431,no
G4,Geopolitics,3,-0.219,0.245,no
G5,Geopolitics,1,-0.225,0.215,no
G5,Geopolitics,2,0.039,0.836,no
G5,Geopolitics,3,-0.005,0.979,no
G6,Geopolitics,1,0.109,0.553,no
G6,Geopolitics,2,0.067,0.719,no
G6,Geopolitics,3,-0.063,0.741,no
G7,Geopolitics,1,-0.038,0.836,no
G7,Geopolitics,2,-0.123,0.51,no
G7,Geopolitics,3,0.187,0.322,no
M1,Media,1,-0.151,0.408,no
M1,Media,2,0.013,0.945,no
M1,Media,3,0.166,0.381,no
M2,Media,1,0.143,0.434,no
M2,Media,2,-0.294,0.109,no
M2,Media,3,-0.394,0.031,YES
M3,Media,1,0.302,0.093,no
M3,Media,2,0.285,0.12,no
M3,Media,3,-0.013,0.945,no
M4,Media,1,-0.081,0.658,no
M4,Media,2,0.07,0.708,no
M4,Media,3,0.249,0.184,no
M5,Media,1,0.285,0.114,no
M5,Media,2,0.03,0.873,no
M5,Media,3,-0.114,0.55,no
M6,Media,1,0.049,0.789,no
M6,Media,2,-0.173,0.351,no
M6,Media,3,-0.128,0.501,no
M7,Media,1,-0.111,0.545,no
M7,Media,2,0.073,0.695,no
M7,Media,3,0.229,0.223,no
