date,views,title,lang
202101,20,The Walt Disney Company,ja
202102,21,The Walt Disney Company,ja
202103,33,The Walt Disney Company,ja
202104,13,The Walt Disney Company,ja
202105,15,The Walt Disney Company,ja
202106,33,The Walt Disney Company,ja
202107,19,The Walt Disney Company,ja
202108,18,The Walt Disney Company,ja
202109,17,The Walt Disney Company,ja
202110,16,The Walt Disney Company,ja
202111,16,The Walt Disney Company,ja
202112,13,The Walt Disney Company,ja
202201,18,The Walt Disney Company,ja
202202,12,The Walt Disney Company,ja
202203,12,The Walt Disney Company,ja
202204,10,The Walt Disney Company,ja
202205,12,The Walt Disney Company,ja
202206,19,The Walt Disney Company,ja
202207,9,The Walt Disney Company,ja
202208,53,The Walt Disney Company,ja
202209,11,The Walt Disney Company,ja
202210,23,The Walt Disney Company,ja
202211,9,The Walt Disney Company,ja
202212,5,The Walt Disney Company,ja
202301,7,The Walt Disney Company,ja
202302,21,The Walt Disney Company,ja
202303,12,The Walt Disney Company,ja
202304,14,The Walt Disney Company,ja
202305,19,The Walt Disney Company,ja
202306,17,The Walt Disney Company,ja
202307,8,The Walt Disney Company,ja
202308,14,The Walt Disney Company,ja
202309,14,The Walt Disney Company,ja
202310,11,The Walt Disney Company,ja
202311,15,The Walt Disney Company,ja
202312,1,The Walt Disney Company,ja
