case_id,sector,high_mean,low_mean,difference,p,sig,n_high,n_low
F1,Finance,18.65,10.18,8.46,0.101,no,9,24
F2,Finance,9.61,11.23,-1.61,0.412,no,9,24
F3,Finance,18.07,3.76,14.3,0.276,no,10,29
F4,Finance,6.07,8.58,-2.51,0.167,no,7,19
F5,Finance,10.77,5.65,5.12,0.588,no,9,24
F6,Finance,9.1,7.65,1.45,0.808,no,9,24
F7,Finance,10.99,4.23,6.76,0.025,YES,9,24
G1,Geopolitics,12.07,5.15,6.92,0.016,YES,8,24
G3,Geopolitics,15.84,3.46,12.38,0.142,no,9,24
G4,Geopolitics,14.24,4.47,9.77,0.065,no,9,24
G5,Geopolitics,4.39,8.1,-3.72,0.748,no,9,24
G6,Geopolitics,7.79,10.92,-3.13,0.133,no,9,24
G7,Geopolitics,19.49,8.04,11.44,0.025,YES,9,24
M1,Media,10.15,11.22,-1.08,0.307,no,9,24
M2,Media,11.87,11.52,0.35,0.215,no,9,24
M3,Media,17.19,9.24,7.96,0.133,no,9,24
M4,Media,10.24,2.72,7.52,0.065,no,9,24
M5,Media,15.96,10.19,5.77,0.109,no,9,24
M6,Media,24.58,14.05,10.53,0.065,no,9,24
M7,Media,11.57,7.12,4.44,0.076,no,9,24
